2015/02/19 11:15:58 [error] 54657#0: *13 open() "/Users/joost/Work/Projects/Stemtinder/Source/www/css/app.css" failed (2: No such file or directory), client: 127.0.0.1, server: stemtinder.dev, request: "GET /css/app.css HTTP/1.1", host: "stemtinder.dev", referrer: "http://stemtinder.dev/"
2015/02/19 11:15:58 [error] 54657#0: *13 open() "/Users/joost/Work/Projects/Stemtinder/Source/www/js/lib/require.js" failed (2: No such file or directory), client: 127.0.0.1, server: stemtinder.dev, request: "GET /js/lib/require.js HTTP/1.1", host: "stemtinder.dev", referrer: "http://stemtinder.dev/"
2015/02/19 11:19:14 [error] 54657#0: *14 open() "/Users/joost/Work/Projects/Stemtinder/Source/www/templates/test.html" failed (2: No such file or directory), client: 127.0.0.1, server: stemtinder.dev, request: "GET /templates/test.html?v=1424341154023 HTTP/1.1", host: "stemtinder.dev", referrer: "http://stemtinder.dev/"
2015/02/19 11:29:12 [error] 56066#0: *16 FastCGI sent in stderr: "PHP message: PHP Warning:  require_once(/Users/joost/Work/Projects/Stemtinder/Source/lib/xps_client.class.php): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/lib/controller.class.php on line 3
PHP message: PHP Fatal error:  require_once(): Failed opening required '/Users/joost/Work/Projects/Stemtinder/Source/lib/xps_client.class.php' (include_path='.:/usr/local/Cellar/php55/5.5.21/lib/php') in /Users/joost/Work/Projects/Stemtinder/Source/lib/controller.class.php on line 3" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 11:46:45 [error] 56066#0: *23 FastCGI sent in stderr: "PHP message: PHP Warning:  require_once(/Users/joost/Work/Projects/Stemtinder/Source/www/../lib/app.php): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 4
PHP message: PHP Fatal error:  require_once(): Failed opening required '/Users/joost/Work/Projects/Stemtinder/Source/www/../lib/app.php' (include_path='.:/usr/local/Cellar/php55/5.5.21/lib/php') in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 11:47:22 [error] 56066#0: *23 FastCGI sent in stderr: "PHP message: PHP Warning:  require_once(/Users/joost/Work/Projects/Stemtinder/Source/www/../lib/app.php): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 4
PHP message: PHP Fatal error:  require_once(): Failed opening required '/Users/joost/Work/Projects/Stemtinder/Source/www/../lib/app.php' (include_path='.:/usr/local/Cellar/php55/5.5.21/lib/php') in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 11:47:23 [error] 56066#0: *23 FastCGI sent in stderr: "PHP message: PHP Warning:  require_once(/Users/joost/Work/Projects/Stemtinder/Source/www/../lib/app.php): failed to open stream: No such file or directory in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 4
PHP message: PHP Fatal error:  require_once(): Failed opening required '/Users/joost/Work/Projects/Stemtinder/Source/www/../lib/app.php' (include_path='.:/usr/local/Cellar/php55/5.5.21/lib/php') in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 11:50:40 [error] 56066#0: *30 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'Dotenv' not found in /Users/joost/Work/Projects/Stemtinder/Source/www/app.php on line 3" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 11:58:25 [error] 56066#0: *34 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'StaticData' not found in /Users/joost/Work/Projects/Stemtinder/Source/app/controllers/partijen_controller.class.php on line 6" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:07:36 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'StaticData' not found in /Users/joost/Work/Projects/Stemtinder/Source/app/controllers/partijen_controller.class.php on line 6" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:08:05 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'StaticData' not found in /Users/joost/Work/Projects/Stemtinder/Source/app/controllers/partijen_controller.class.php on line 6" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:08:06 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'StaticData' not found in /Users/joost/Work/Projects/Stemtinder/Source/app/controllers/partijen_controller.class.php on line 6" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
2015/02/19 12:08:06 [error] 56066#0: *37 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Class 'StaticData' not found in /Users/joost/Work/Projects/Stemtinder/Source/app/controllers/partijen_controller.class.php on line 6" while reading response header from upstream, client: 127.0.0.1, server: stemtinder.dev, request: "GET /partijen HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "stemtinder.dev"
